Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
dog,labrador,4,male,25.0,fever,lethargy,appetite loss,vomiting,3 days,Yes,Yes,No,No,No,No,No,No,No,39.5,120,parvovirus
cat,siamese,2,female,4.5,coughing,sneezing,eye discharge,nasal discharge,1 week,No,No,No,Yes,No,No,No,Yes,Yes,38.9,150,upper respiratory infection
cow,holstein,3,female,600.0,fever,nasal discharge,labored breathing,coughing,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.1,90,foot and mouth disease
dog,beagle,1,male,10.0,diarrhea,vomiting,lethargy,appetite loss,2 days,Yes,Yes,Yes,No,No,No,No,No,No,39.2,130,gastroenteritis
cat,persian,5,male,3.8,lethargy,appetite loss,skin lesions,,2 weeks,Yes,No,No,No,No,No,Yes,No,No,38.7,160,fungal infection
horse,thoroughbred,6,female,500.0,coughing,labored breathing,nasal discharge,fever,10 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.8,85,equine influenza
dog,german shepherd,3,female,30.0,lameness,fever,skin lesions,lethargy,7 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3,110,lyme disease
cat,maine coon,2,male,6.0,vomiting,appetite loss,lethargy,diarrhea,4 days,Yes,Yes,Yes,No,No,No,No,No,No,39.1,140,intestinal parasites
dog,bulldog,5,male,23.0,labored breathing,coughing,nasal discharge,appetite loss,6 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.0,115,canine distemper
cow,jersey,4,female,580.0,lethargy,decreased milk yield,fever,,8 days,Yes,No,No,No,No,No,No,No,No,39.6,70,mastitis
cat,siamese,3,female,5.0,lethargy,eye discharge,vomiting,fever,5 days,Yes,Yes,No,No,No,No,Yes,No,No,39.0,130,panleukopenia
dog,poodle,2,female,12.0,lethargy,appetite loss,coughing,vomiting,4 days,Yes,Yes,No,Yes,No,No,No,No,No,39.4,115,kennel cough
cat,bengal,1,male,4.2,vomiting,diarrhea,lethargy,appetite loss,3 days,Yes,Yes,Yes,No,No,No,No,No,No,38.8,140,panleukopenia
horse,arabian,8,female,490.0,lameness,fever,coughing,nasal discharge,1 week,Yes,No,No,Yes,No,Yes,No,Yes,No,39.9,75,strangles
cow,hereford,5,male,650.0,fever,lethargy,decreased milk yield,appetite loss,5 days,Yes,No,No,No,No,No,No,No,No,39.7,80,bovine respiratory disease
dog,chihuahua,4,female,3.5,lethargy,vomiting,diarrhea,coughing,2 days,Yes,Yes,Yes,Yes,No,No,No,No,No,39.1,130,canine parvovirus
cat,ragdoll,3,male,5.0,skin lesions,appetite loss,lethargy,vomiting,10 days,Yes,Yes,No,No,No,No,Yes,No,No,38.6,155,ringworm
dog,siberian husky,6,male,28.0,lameness,fever,skin lesions,lethargy,8 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3,120,tick-borne disease
horse,clydesdale,10,male,700.0,coughing,nasal discharge,labored breathing,fever,2 weeks,Yes,No,No,Yes,Yes,No,No,Yes,No,40.2,85,equine influenza
cat,british shorthair,5,female,4.8,lethargy,eye discharge,appetite loss,nasal discharge,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.0,150,upper respiratory infection
cow,angus,3,female,590.0,decreased milk yield,fever,appetite loss,lethargy,7 days,Yes,No,No,No,No,No,No,No,No,39.5,70,mastitis
horse,arabian,7,male,450.0,lethargy,appetite loss,fever,labored breathing,5 days,Yes,No,No,Yes,Yes,No,No,No,No,39.7,90,equine influenza
dog,poodle,2,female,8.0,coughing,nasal discharge,appetite loss,lethargy,4 days,Yes,No,No,Yes,No,No,No,Yes,No,39.1,125,kennel cough
cat,bengal,3,male,5.5,lethargy,vomiting,diarrhea,dehydration,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.3,140,panleukopenia
cow,angus,5,female,700.0,fever,decreased milk yield,lethargy,nasal discharge,7 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.8,80,bovine respiratory disease
dog,golden retriever,4,male,30.0,lameness,swelling,appetite loss,fever,10 days,Yes,No,No,No,No,Yes,No,No,No,39.5,110,arthritis
cat,russian blue,2,female,4.5,coughing,nasal discharge,eye discharge,sneezing,5 days,No,No,No,Yes,No,No,No,Yes,Yes,38.8,150,feline herpesvirus
horse,quarter horse,9,female,480.0,coughing,nasal discharge,fever,labored breathing,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.9,85,equine rhinopneumonitis
dog,chihuahua,1,male,3.0,vomiting,diarrhea,lethargy,fever,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.4,135,parvovirus
cat,ragdoll,6,male,6.0,appetite loss,weight loss,vomiting,lethargy,2 weeks,Yes,Yes,No,No,No,No,Yes,No,No,39.0,160,feline leukemia
cow,hereford,3,female,650.0,lethargy,fever,decreased milk yield,nasal discharge,8 days,Yes,No,No,Yes,No,No,No,No,No,39.6,75,mastitis
dog,german shepherd,5,male,30.0,lethargy,labored breathing,coughing,appetite loss,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.6,125,heartworm disease
cat,maine coon,6,female,7.5,appetite loss,vomiting,diarrhea,skin lesions,4 days,Yes,Yes,Yes,No,No,Yes,No,No,No,38.9,145,feline infectious peritonitis
horse,thoroughbred,9,male,500.0,nasal discharge,coughing,labored breathing,lethargy,10 days,No,No,No,Yes,Yes,No,No,Yes,No,40.0,78,equine viral arteritis
cow,holstein,4,female,580.0,appetite loss,diarrhea,lethargy,decreased milk yield,7 days,Yes,No,Yes,No,No,No,No,No,No,39.4,82,johne's disease
dog,beagle,2,female,9.0,fever,vomiting,lethargy,skin lesions,3 days,Yes,Yes,No,No,No,Yes,Yes,No,No,39.2,132,canine distemper
cat,persian,8,male,4.6,appetite loss,vomiting,eye discharge,lethargy,2 days,No,Yes,No,No,No,No,Yes,No,Yes,39.0,140,conjunctivitis
horse,appaloosa,6,female,520.0,lameness,fever,skin lesions,appetite loss,5 days,No,No,No,No,No,Yes,Yes,No,No,39.8,76,equine piroplasmosis
cow,jersey,3,male,620.0,diarrhea,lethargy,appetite loss,decreased milk yield,8 days,Yes,No,Yes,No,No,No,No,No,No,39.7,79,salmonellosis
dog,dachshund,7,male,5.5,coughing,labored breathing,lethargy,appetite loss,2 weeks,Yes,No,No,Yes,Yes,No,No,No,No,39.5,120,chronic bronchitis
cat,sphynx,4,female,3.2,eye discharge,nasal discharge,appetite loss,lethargy,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.3,150,feline upper respiratory infection
dog,golden retriever,4,female,28.0,lethargy,vomiting,diarrhea,loss of appetite,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.2,130,parvovirus
cat,british shorthair,3,male,5.5,appetite loss,coughing,nasal discharge,eye discharge,4 days,Yes,No,No,Yes,Yes,No,No,No,Yes,38.7,145,feline upper respiratory infection
horse,arabian,10,female,450.0,lameness,fever,swollen joints,lethargy,8 days,No,No,No,Yes,Yes,No,No,No,No,39.4,75,equine arthritis
cow,angus,6,male,600.0,coughing,nasal discharge,labored breathing,fever,7 days,No,No,No,Yes,Yes,No,No,No,No,39.9,82,bovine respiratory disease
dog,bulldog,5,male,22.0,vomiting,appetite loss,fever,diarrhea,3 days,Yes,Yes,No,No,Yes,Yes,No,No,No,39.6,138,gastroenteritis
cat,siamese,2,female,4.0,sneezing,eye discharge,appetite loss,lethargy,2 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.0,135,feline herpesvirus
horse,quarter horse,12,male,500.0,lameness,fever,swollen joints,reduced appetite,5 days,No,No,No,Yes,No,Yes,No,No,No,39.7,78,equine infectious anemia
cow,hereford,3,female,570.0,lethargy,diarrhea,appetite loss,dehydration,6 days,Yes,No,No,No,No,Yes,No,No,No,39.1,80,bovine viral diarrhea
dog,poodle,8,male,15.0,coughing,labored breathing,lethargy,appetite loss,1 week,Yes,No,Yes,No,Yes,No,No,No,Yes,39.3,126,kennel cough
cat,abyssinian,5,female,4.5,vomiting,diarrhea,loss of appetite,dehydration,3 days,No,Yes,No,Yes,No,Yes,No,Yes,No,38.5,142,pancreatitis
horse,clydesdale,15,male,600.0,appetite loss,lethargy,labored breathing,coughing,10 days,No,No,Yes,Yes,No,No,Yes,Yes,No,39.8,70,equine pneumonia
cow,brahman,7,female,620.0,fever,coughing,lethargy,decreased milk yield,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.6,81,mastitis
dog,husky,9,male,25.0,lethargy,vomiting,diarrhea,loss of appetite,4 days,Yes,Yes,No,Yes,Yes,No,No,No,No,39.1,124,canine parvovirus
cat,ragdoll,4,female,5.0,eye discharge,nasal discharge,coughing,lethargy,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.6,148,feline calicivirus
